,nombre_autor,username_autor,texto_tw,id_tw,id_autor,fecha_creacion,num_retw,num_contestacion,num_likes,num_menciones
54,Mario Lopez de Avila,nodosenlared,"Jaime, estoy seguro de que en @TheBridge_Tech , la aceleradora de talento digital líder en nuestro país, estarían encantados de ayudarte en la organización de ese Hackhaton. Al menos yo lo estoy 😉 https://t.co/60ybQN84qk",1507711509467734019,41545659,2022-03-26 13:30:10+00:00,2,0,6,0
55,Escuela de Negocios,ENCamaraSevilla,"La @camaradesevilla organiza junto al Grupo Planeta y su presidente José Lara, este encuentro con las empresas #ClubCámara para recoger las necesidades del #SectorTecnológico y presentar nuestra oferta de #Bootcamps de la mano de @TheBridge_Tech https://t.co/rJkWd5MKT8 https://t.co/J6SHTHXylM",1507059034146361344,163586106,2022-03-24 18:17:28+00:00,4,0,7,0
56,Course Report,CourseReport,"🎉 Congrats to @simplilearn, @TheBridge_Tech, @thinkful, and @udacity who made it on our list of the 14 Best Digital Marketing Bootcamps of 2022! https://t.co/tgUf4qX2DX https://t.co/MIhFTrM9lA",1504525515247472649,1941897590,2022-03-17 18:30:10+00:00,0,0,0,0
57,Carlos L. Guardiola,carlosguardiola,"En 2021, las instituciones que forman profesionales digitales con modelos de Bootcamp prepararon a más personas que el 94% de las universidades españolas @Adalab_Digital @TheBridge_Tech @ironhack https://t.co/zyzeLrNdLo",1504380116792664064,209496112,2022-03-17 08:52:24+00:00,0,1,5,0
58,Course Report,CourseReport,"🔐 We've combed through student &amp; alumni reviews to find the 17 Best Cyber Security Bootcamps of 2022, including @Level_Effect, @nexgent, @simplilearn, @Springboard, and @TheBridge_Tech! 
https://t.co/t9VCetS80T https://t.co/uhS3m8KSBT",1503808574987935757,1941897590,2022-03-15 19:01:18+00:00,2,0,3,0
59,Pep Iberico,soyelsimo,@PICKYUAN @TheBridge_Tech @PagePersonnel Yo por experiencia te diría que busques otra escuela. Cuando las cosas funcionan bien todo muy bonito ahora cuando no… no hacen nada y te dicen que esto es lo que hay 😅🤦‍♂️,1503513313648463877,295720842,2022-03-14 23:28:02+00:00,0,0,0,0
60,The Bridge,TheBridge_Tech,¡Muy contentos por todos ellos! 100% empleabilidad en la promoción de junio. Gracias desde @TheBridge_Tech por confiar y ponerlo todo tan fácil ¡Felicidades! #fullstackdevelopers #datascientists #digitalmarketers #uxuidesigners #cybersecurityanalysts 🎯💼 https://t.co/R0eGi9QXv5,1503409219789328384,1162694149956603904,2022-03-14 16:34:24+00:00,1,0,3,0
61,The Bridge,TheBridge_Tech,¡El #bootcamp de #Ciberseguridad de @TheBridge_Tech vuelve a estar entre los mejores bootcamps del mundo! Y este año también nos estrenamos con el de #DigitalMarketingOps que entra por primera vez en la lista de #CourseReport! Una súper noticia👏👏¡Gracias a todos! #bestbootcamps https://t.co/3xShvybDST,1501530641610989581,1162694149956603904,2022-03-09 12:09:36+00:00,2,1,2,0
62,Pablo Oliete,pablooliete,"Día para agradecer a @TheBridge_Tech y @Glovo_ES la oportunidad que han dado a estos dos cracks para formarse con @codeorg en programación por bloques en un curso de 48 horas de duración.
Bravo 🙌 
🔝🦸🏻‍♂️🦸🏻‍♀️🏭🇪🇸 https://t.co/ZTCrroHQTc",1500124541137428490,363153431,2022-03-05 15:02:16+00:00,0,0,13,0
63,@Poderyliderazgo.cl,Poder_Liderazgo,[Opinión] Por más mujeres líderes en tecnología https://t.co/FqVeFL1ljq https://t.co/SFOFIEv1Uo @TheBridge_Tech https://t.co/kBo9xGdGrU,1499397980704546831,742380996688023552,2022-03-03 14:55:10+00:00,0,0,0,0
64,@Poderyliderazgo.cl,Poder_Liderazgo,[Opinión] Por más mujeres líderes en tecnología - https://t.co/FqVeFL1ljq @TheBridge_Tech https://t.co/TE5sXsBaAT,1499397820410851332,742380996688023552,2022-03-03 14:54:32+00:00,0,0,0,0
65,PICKY,PICKYUAN,"@TheBridge_Tech @PagePersonnel Mi hijo y yo nos apuntamos con muchos días de antelación
Hoy a las 7 nos conectamos y aparece el mensaje ""Enlace caducado"": no nos hemos podido conectar
Es una pena que, además de tener que recurrir a lo on-line, con la frialdad que supone, ocurran estos fallos técnicos
Muy mal",1499088433293185033,414032513,2022-03-02 18:25:08+00:00,0,2,0,0
66,MyNews,MyNews_es,"Toma contacto con el #marketingdigital de la mano de @TheBridge_Tech. Aprende a usar el contenido, el email, las redes sociales y la publicidad digital en este taller impartido por @jpereznavarrete📝

📅Jueves 3 de marzo, 18-19h (online)

#EventoDeLaSemana  #masterclass #MyNews",1498249085337444355,91372157,2022-02-28 10:49:52+00:00,0,1,2,0
67,Zeus,insidezeusdata,"Nuestro PMO @vicencf da una clase a los alumnos de @TheBridge_Tech  en nuestras instalaciones 🚀

#bigdata #data #education https://t.co/jiskmovU0m",1497198545333624832,763323065199628288,2022-02-25 13:15:24+00:00,1,0,4,1
68,Michael Page España,michaelpage_es,"Hace unos días, nuestras compañeras Inés Bdiri y Alba Calvo estuvieron en la Aceleradora de Talento digital @TheBridge_Tech para contar a sus alumnos las ""best practices"" en la búsqueda de empleo y ¡fue un éxito! 👏

¡Gracias a todos los asistentes!🙌 https://t.co/JLvRI7z6Ti",1496865773582696449,198936952,2022-02-24 15:13:05+00:00,0,0,0,1
69,Mar Lopez,marobserva,@EduvigisOrtiz @TheBridge_Tech @rdiazmoles @dankominsky @juliapereav @AnaAyerbe @EvusRoman @maicaag @SGarBecares @peritecno @Maitenas @Women4Cyber @iagorguezgarcia @tima_soni @unicc_ict Seguimos haciendo equipo!!!,1496571973979234311,308530390,2022-02-23 19:45:38+00:00,1,0,6,0
70,Fundación Universia,FUniversia,"📢¡Última semana!
Aún puedes solicitar una de las becas que otorgamos junto a @IndraCompany para la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻

💻10 #becas dirigidas a personas con #discapacidad con formaciones #STEM 📲 https://t.co/ubL3Gyg3Gl https://t.co/yHUvz4zCXG",1496021941483802630,589903453,2022-02-22 07:20:00+00:00,1,0,6,0
71,Pep Iberico,soyelsimo,Yo he caído en el bootcamp de Data science de @TheBridge_Tech en madrid. Si valor agregado consiste en presionarte para que aprendas por tu cuenta. Si no aprendes es tú culpa porque su método es muy sólido. Aunque se queje el 50% de la clase. https://t.co/g892EydfYy,1495055146769915908,295720842,2022-02-19 15:18:18+00:00,1,0,0,0
72,Indra,IndraCompany,¿Aún no has solicitado tu beca para el #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech? Si tienes #discapacidad y una formación universitaria #STEM puedes recibir una de las 10 becas de @IndraCompany y @FUniversia 📲¡Inscríbete ya! https://t.co/wYjp06QE9c https://t.co/bLDY1DVOKa,1494627201794428930,73355170,2022-02-18 10:57:48+00:00,5,0,8,0
73,Eduvigis Ortiz,EduvigisOrtiz,Muy #agradecida del gran #trabajo en #equipo para lanzar nuestro #W4C #mentoring #cybersecurity @TheBridge_Tech @rdiazmoles @marobserva @dankominsky @juliapereav @AnaAyerbe @EvusRoman @maicaag @SGarBecares @peritecno @Maitenas @Women4Cyber @iagorguezgarcia @tima_soni @unicc_ict https://t.co/KNdkUEp3sf,1493902011242274825,2819387949,2022-02-16 10:56:09+00:00,9,1,13,0
74,Women4Cyber_Spain,Women4Cyber_SP,Presentando nuestra 2ª edición del Programa de Mentoring de forma presencial en @TheBridge_Tech. Encantadas con la asistencia y el apoyo de nuestros mentores y mentees 🙂🙂 Muchas gracias!! #womenincyber #W4C https://t.co/JcPYHB5Aze,1493639257587601413,1319233294198857728,2022-02-15 17:32:04+00:00,1,0,8,0
75,AI_Bot,AIBot_CdH,@peritecno @jcgalindo_ @Women4Cyber_SP @TheBridge_Tech @bbva @sanitas @unicc_ict @EduvigisOrtiz @tima_soni Qué pena no poder asistir de manera presencial y poder conocer al resto de mentores y mentees,1492946377290178564,1319221643634495489,2022-02-13 19:38:48+00:00,0,0,2,0
76,periciatecnologica,peritecno,"@peritecno colabora en el evento 🔝""Inicio Programa #Mentoring 2022"" del 📅 15 de febrero a las 18:15 h organizado por @Women4Cyber_SP, en modalidad mixta: 🙋‍♀️‍en @TheBridge_Tech y 💻en LinkedIn Live
➕info: https://t.co/UL9tbO30fC
#periciatecnologica #JuntosSomosMas #PETEC https://t.co/r2m28EFIdq",1492927405413089281,981508377942659073,2022-02-13 18:23:25+00:00,4,1,7,0
77,Miriam Sanchez,soyuxpuntocom,@uxbs_podcast El bootcamp de @TheBridge_Tech,1492557029046632448,1488306026025783301,2022-02-12 17:51:40+00:00,1,0,4,0
78,TheFringe/LABS,TheFringeLABS,¡Feliz martes porque podemos anunciar que los Proptech Thursdays aterrizan en Madrid el 3 de marzo! 🎉Hemos creado estos eventos mensuales con la colaboración de @apicatalunya  y @TheBridge_Tech  y podéis reservar vuestras entradas en este enlace: https://t.co/cHFFfDUA9Z,1490999359579643909,1402182570314539009,2022-02-08 10:42:03+00:00,0,1,2,1
79,Fundación Universia,FUniversia,"Aún puedes solicitar una de las becas que otorgamos junto a @IndraCompany para la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻

Son 10 #becas dirigidas a personas con #discapacidad con formaciones #STEM 📲 https://t.co/ubL3GyycUt https://t.co/KAzkvXPFkY",1490973768667512835,589903453,2022-02-08 09:00:22+00:00,0,0,3,0
80,Antonio López,antoniolopezg,"Muchas ganas de hablar este martes con alumnos de @TheBridge_Tech acerca de como hacemos #DataScience #MachineLearning en Decathlon
https://t.co/asAw5W6uht https://t.co/4HOtEnbx7P",1490430578633674756,124512688,2022-02-06 21:01:55+00:00,0,0,1,0
81,Zoom Tecnologico,zoomtecnochile,Automatización y el Covid-19 en el horizonte del nuevo trabajador https://t.co/aA3d4D199h #TalentoProfesional #TheBridge #Automatizacion @thebridge_tech,1489249806249644040,720372640192405504,2022-02-03 14:49:57+00:00,0,0,1,0
82,Cámara de Comercio de Sevilla,camaradesevilla,"🔥 ¡Impulsa tu carrera profesional con los nuevos #BootCamps de la @encamarasevilla!

✅Participa en el #OpenDay de los Bootcamps🚀 de Data Science y Desarrollo Web Full Stack con @TheBridge_Tech.

Más información en ⤵

https://t.co/CspTlfsJR8 https://t.co/ModB2H17pc",1488552725113618439,106344840,2022-02-01 16:40:00+00:00,2,0,2,0
83,Indra,IndraCompany,"Aún puedes solicitar una de las becas que otorgamos junto a @FUniversia para la realización de un #bootcamp de Desarrollo Web Full-stack en @TheBridge_Tech 💻
Son 10 #becas dirigidas a personas con #discapacidad con formaciones #STEM 📲 https://t.co/wYjp06QE9c https://t.co/OYCENTaRMr",1488167222979801095,73355170,2022-01-31 15:08:09+00:00,2,0,6,0
